epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8431,1.02169,3.34363,1.24582,0.35025,0.08159,0.01478,0.00774,1.60822,5.6354,1.85655,0.0676226,0.000327044,0.000327044
2,49.1304,1.78704,7.73892,1.85462,0.00846,0.31849,0.00863,0.00323,2.23389,40.2455,2.73623,0.0346006,0.000638367,0.000638367
3,73.0279,1.8467,4.38538,1.98994,0.0027,0.33137,0.00531,0.00138,2.53281,4.28247,2.8225,0.0015564,0.00092747,0.00092747
4,96.8048,1.97142,3.80718,2.06612,0.03702,0.01111,0.01009,0.00489,2.39145,15.3642,2.59994,0.00090001,0.00090001,0.00090001
5,120.628,1.63268,3.24349,1.78098,0.09011,0.30611,0.02695,0.01203,1.66233,63.1199,2.35031,0.00086668,0.00086668,0.00086668
6,144.47,1.44212,2.76465,1.66536,0.63467,0.26468,0.27546,0.16181,1.56458,2.66049,1.85507,0.00083335,0.00083335,0.00083335
7,168.418,1.298,2.31519,1.48551,0.68558,0.34577,0.40388,0.2184,1.48039,2.04173,1.6753,0.00080002,0.00080002,0.00080002
8,192.841,1.21548,1.90274,1.43743,0.63511,0.5454,0.63831,0.45861,1.10952,1.77908,1.41222,0.00076669,0.00076669,0.00076669
9,216.978,1.12907,1.57326,1.38659,0.75637,0.57827,0.65441,0.46101,1.1008,1.47305,1.34303,0.00073336,0.00073336,0.00073336
10,241.415,1.07515,1.52205,1.34046,0.81065,0.66899,0.75716,0.58367,0.94734,1.13816,1.21771,0.00070003,0.00070003,0.00070003
11,266.485,0.9637,1.22976,1.22745,0.78705,0.68073,0.76788,0.60629,0.88141,1.16367,1.14927,0.0006667,0.0006667,0.0006667
12,291.101,0.96275,1.25194,1.2372,0.8855,0.71765,0.80715,0.6224,0.8775,1.03003,1.16595,0.00063337,0.00063337,0.00063337
13,315.811,0.91675,1.11774,1.20895,0.8362,0.70244,0.78677,0.57558,1.04579,1.13905,1.30218,0.00060004,0.00060004,0.00060004
14,340.145,0.88801,1.04301,1.16147,0.85162,0.74604,0.78658,0.59653,0.92,1.03825,1.22457,0.00056671,0.00056671,0.00056671
15,364.457,0.84426,0.90165,1.17373,0.84786,0.79037,0.87354,0.71212,0.77711,0.87693,1.06315,0.00053338,0.00053338,0.00053338
16,388.96,0.80766,0.85709,1.13164,0.93817,0.78465,0.85834,0.71208,0.72717,0.86434,1.09218,0.00050005,0.00050005,0.00050005
17,413.334,0.73444,0.79549,1.07464,0.9388,0.82851,0.88663,0.73143,0.68438,0.73356,1.0486,0.00046672,0.00046672,0.00046672
18,437.875,0.71791,0.78075,1.07488,0.96158,0.84033,0.91002,0.74548,0.71885,0.7064,1.07218,0.00043339,0.00043339,0.00043339
19,462.481,0.6528,0.68674,1.03617,0.95517,0.82488,0.89012,0.76039,0.61714,0.66449,1.02078,0.00040006,0.00040006,0.00040006
20,487.286,0.66245,0.66884,1.02935,0.94735,0.82826,0.90684,0.76833,0.6455,0.65757,1.03721,0.00036673,0.00036673,0.00036673
21,527.093,0.60742,0.61945,0.99462,0.92936,0.83895,0.91099,0.77879,0.6066,0.62434,1.01925,0.0003334,0.0003334,0.0003334
22,551.414,0.56663,0.58178,0.99396,0.9697,0.83998,0.92003,0.79136,0.59668,0.58915,1.00098,0.00030007,0.00030007,0.00030007
23,575.836,0.56919,0.56307,0.98462,0.9265,0.87356,0.92347,0.81523,0.54948,0.53995,0.95973,0.00026674,0.00026674,0.00026674
24,600.318,0.53083,0.52228,0.95545,0.95245,0.88032,0.9333,0.81805,0.52426,0.53571,0.95209,0.00023341,0.00023341,0.00023341
25,624.975,0.50252,0.49786,0.94568,0.95219,0.88527,0.93284,0.834,0.48686,0.48183,0.91956,0.00020008,0.00020008,0.00020008
26,649.562,0.47397,0.46856,0.91443,0.94891,0.87753,0.93028,0.82896,0.47128,0.49212,0.91276,0.00016675,0.00016675,0.00016675
27,674.031,0.45018,0.45092,0.90531,0.95537,0.87819,0.92412,0.82639,0.50021,0.50437,0.95143,0.00013342,0.00013342,0.00013342
28,698.517,0.4321,0.42613,0.8956,0.97934,0.89799,0.9428,0.84738,0.45942,0.45419,0.91621,0.00010009,0.00010009,0.00010009
29,723.355,0.40988,0.41681,0.90036,0.97377,0.88147,0.9395,0.85259,0.43329,0.43365,0.89996,6.676e-05,6.676e-05,6.676e-05
30,748.111,0.41478,0.40757,0.89313,0.97371,0.8948,0.94307,0.85492,0.42665,0.41739,0.89458,3.343e-05,3.343e-05,3.343e-05
