epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.124,1.69757,3.00689,1.66052,0.17466,0.65837,0.4118,0.18848,1.95261,3.74247,1.6765,0.0677021,0.000326241,0.000326241
2,319.942,1.61989,1.8769,1.56541,0.39418,0.24552,0.282,0.13573,2.1666,3.58345,2.05473,0.034676,0.000633455,0.000633455
3,476.95,1.58031,1.61992,1.53697,0.83067,0.6584,0.75829,0.44987,1.4862,1.54995,1.29309,0.00162349,0.00091427,0.00091427
4,608.801,1.53253,1.51127,1.52884,0.89683,0.81936,0.89348,0.50873,1.38728,1.14951,1.25811,0.0008812,0.0008812,0.0008812
5,1011.86,1.5307,1.41749,1.50667,0.83533,0.76065,0.81788,0.53622,1.29259,1.30322,1.24174,0.0008416,0.0008416,0.0008416
6,1268.91,1.48635,1.43021,1.48958,0.93803,0.82398,0.89927,0.52433,1.38345,1.03812,1.20954,0.000802,0.000802,0.000802
7,1425.58,1.45016,1.38551,1.46883,0.90353,0.77366,0.87034,0.53165,1.31751,1.50818,1.22117,0.0007624,0.0007624,0.0007624
8,1565.06,1.4777,1.33782,1.48974,0.97434,0.82517,0.90712,0.5376,1.47349,1.03445,1.24569,0.0007228,0.0007228,0.0007228
9,1735.35,1.43483,1.29294,1.44481,0.93231,0.86627,0.91492,0.48092,1.67759,1.04046,1.33089,0.0006832,0.0006832,0.0006832
10,1882.24,1.4381,1.24945,1.43642,0.93965,0.84554,0.89945,0.52296,1.51384,0.99425,1.24719,0.0006436,0.0006436,0.0006436
11,2022.2,1.38746,1.21074,1.42266,0.94377,0.88723,0.93342,0.59193,1.3609,0.84405,1.18734,0.000604,0.000604,0.000604
12,2163.9,1.3829,1.21303,1.40837,0.94142,0.88506,0.92793,0.59649,1.27884,0.84517,1.14231,0.0005644,0.0005644,0.0005644
13,2526.41,1.36211,1.16937,1.39629,0.97066,0.89544,0.93138,0.55039,1.51724,0.90855,1.23423,0.0005248,0.0005248,0.0005248
14,2654.07,1.35773,1.13332,1.3882,0.96195,0.91857,0.9393,0.57847,1.40702,0.81726,1.19153,0.0004852,0.0004852,0.0004852
15,2778.41,1.33569,1.10208,1.38435,0.97484,0.89249,0.93788,0.55747,1.49117,0.84985,1.20306,0.0004456,0.0004456,0.0004456
16,2943.1,1.09952,0.8799,1.24056,0.96269,0.88903,0.93459,0.60111,1.29899,0.81942,1.14991,0.000406,0.000406,0.000406
17,3090.85,1.07909,0.79669,1.21957,0.95228,0.89834,0.93118,0.64072,1.17563,0.7655,1.10681,0.0003664,0.0003664,0.0003664
18,3230.38,1.04699,0.7301,1.19804,0.95177,0.91377,0.93627,0.64386,1.20632,0.71557,1.09357,0.0003268,0.0003268,0.0003268
19,3369.8,1.01502,0.68903,1.16759,0.964,0.90175,0.93883,0.59031,1.35034,0.74573,1.14256,0.0002872,0.0002872,0.0002872
20,3509.49,1.04249,0.68683,1.18942,0.9587,0.89116,0.93669,0.62394,1.21667,0.72251,1.10127,0.0002476,0.0002476,0.0002476
21,3656.89,1.00472,0.65395,1.17892,0.97154,0.89965,0.9378,0.65116,1.1564,0.71829,1.07158,0.000208,0.000208,0.000208
22,3796.17,1.0176,0.6476,1.16073,0.96334,0.90846,0.93731,0.64032,1.18728,0.6663,1.06764,0.0001684,0.0001684,0.0001684
23,3935.22,0.98783,0.61612,1.14618,0.9779,0.91857,0.94369,0.63986,1.22037,0.65288,1.08361,0.0001288,0.0001288,0.0001288
24,4074.41,0.98068,0.61,1.13971,0.98135,0.91839,0.94391,0.67356,1.11413,0.61231,1.04437,8.92e-05,8.92e-05,8.92e-05
25,4222.53,0.97161,0.58887,1.15062,0.9888,0.92138,0.9469,0.65037,1.17787,0.62499,1.06612,4.96e-05,4.96e-05,4.96e-05
