epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,448.456,1.09961,2.53683,1.2134,0.30353,0.34553,0.24493,0.12642,1.4456,6.59576,1.48147,0.0676226,0.000327044,0.000327044
2,802.461,1.46621,3.97885,1.38728,0.26343,0.4278,0.22863,0.12921,1.635,23.9468,1.61302,0.0345962,0.000633965,0.000633965
3,1153.4,1.62502,3.13085,1.45179,0.24191,0.37173,0.2247,0.12858,1.60562,3.19538,1.52236,0.00154315,0.000914222,0.000914222
4,1610.79,1.53476,2.95443,1.36881,0.35658,0.46647,0.35792,0.20766,1.47099,2.77006,1.25758,0.000880012,0.000880012,0.000880012
5,2007.54,1.38566,2.12109,1.24245,0.44227,0.58871,0.54447,0.28977,1.38799,2.03569,1.22509,0.000840016,0.000840016,0.000840016
6,2332.35,1.12958,1.58489,1.10493,0.75024,0.66484,0.7221,0.48303,1.21194,1.43185,1.17764,0.00080002,0.00080002,0.00080002
7,2727.64,1.08419,1.39099,1.10311,0.82629,0.66243,0.73523,0.54463,0.96708,1.36642,1.03974,0.000760024,0.000760024,0.000760024
8,3118.42,1.00827,1.17972,1.05318,0.83554,0.68402,0.75124,0.5569,0.99878,1.2911,1.03468,0.000720028,0.000720028,0.000720028
9,3522.67,0.93582,1.03582,1.03562,0.92146,0.77882,0.85078,0.66906,0.81779,0.91078,0.9771,0.000680032,0.000680032,0.000680032
10,3844.41,0.8404,0.87741,0.98484,0.92791,0.68988,0.77423,0.61648,0.93232,1.16778,1.0775,0.000640036,0.000640036,0.000640036
11,4239.31,0.80367,0.80978,0.97751,0.96239,0.79313,0.87936,0.70846,0.72872,0.80251,0.91253,0.00060004,0.00060004,0.00060004
12,4624.48,0.78352,0.79104,0.96691,0.93054,0.82334,0.87328,0.71893,0.6918,0.80652,0.92257,0.000560044,0.000560044,0.000560044
13,5021.15,0.71871,0.72887,0.9491,0.96307,0.83206,0.89538,0.71413,0.73617,0.72588,0.9313,0.000520048,0.000520048,0.000520048
14,5348.27,0.71915,0.69742,0.93402,0.96872,0.83127,0.90525,0.77231,0.62331,0.67603,0.89209,0.000480052,0.000480052,0.000480052
15,5749.96,0.64883,0.61706,0.91959,0.95368,0.82807,0.89427,0.73134,0.68857,0.66258,0.90118,0.000440056,0.000440056,0.000440056
16,6188.2,0.60726,0.56631,0.89216,0.9509,0.86372,0.91247,0.75965,0.64646,0.63157,0.89948,0.00040006,0.00040006,0.00040006
17,6594.42,0.58441,0.54646,0.88389,0.95759,0.88972,0.92549,0.79417,0.55889,0.54681,0.86578,0.000360064,0.000360064,0.000360064
18,6922.07,0.55612,0.50713,0.87629,0.9679,0.87419,0.92995,0.80332,0.5623,0.54976,0.86327,0.000320068,0.000320068,0.000320068
19,7326.45,0.51051,0.4706,0.85078,0.97783,0.89151,0.93544,0.81473,0.52213,0.52359,0.85541,0.000280072,0.000280072,0.000280072
20,7716.65,0.49261,0.43405,0.84955,0.98744,0.88315,0.93597,0.82924,0.49808,0.49669,0.85353,0.000240076,0.000240076,0.000240076
21,8125.98,0.45705,0.41784,0.84584,0.95839,0.9066,0.93826,0.82942,0.47457,0.4528,0.85285,0.00020008,0.00020008,0.00020008
22,8453.75,0.44868,0.40879,0.85172,0.97184,0.89101,0.93726,0.84708,0.4459,0.44927,0.83487,0.000160084,0.000160084,0.000160084
23,8850.24,0.41739,0.38091,0.84119,0.99012,0.90035,0.94098,0.84702,0.45421,0.44343,0.84238,0.000120088,0.000120088,0.000120088
24,9236.74,0.41213,0.36462,0.83348,0.98957,0.89929,0.94162,0.85463,0.43938,0.42302,0.84579,8.0092e-05,8.0092e-05,8.0092e-05
25,9638.79,0.37974,0.33764,0.82708,0.98411,0.90855,0.94359,0.85744,0.42779,0.41728,0.84005,4.0096e-05,4.0096e-05,4.0096e-05
