epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,627.371,1.584,2.13887,1.50004,0.66643,0.43325,0.51435,0.30006,1.62608,2.87094,1.4625,0.0678462,0.000324786,0.000324786
2,1201.32,1.49379,1.4301,1.42077,0.64963,0.62534,0.62947,0.35267,1.43982,2.31119,1.29367,0.0348201,0.000632058,0.000632058
3,1816.56,1.47637,1.31943,1.41829,0.80533,0.8056,0.83629,0.46654,1.53516,1.51741,1.34149,0.00176763,0.00091293,0.00091293
4,2426.71,1.45137,1.22018,1.4182,0.72798,0.70883,0.7755,0.44986,1.55833,1.98262,1.41056,0.0008812,0.0008812,0.0008812
5,3016.94,1.40436,1.1147,1.39936,0.89268,0.77226,0.85706,0.55331,1.2104,1.48765,1.18409,0.0008416,0.0008416,0.0008416
6,3581.08,1.36864,1.09286,1.35068,0.89201,0.84476,0.88712,0.54353,1.37153,0.97875,1.19889,0.000802,0.000802,0.000802
7,4190.57,1.36871,1.06477,1.35103,0.88808,0.81071,0.88132,0.50449,1.47813,0.97799,1.25325,0.0007624,0.0007624,0.0007624
8,4794.6,1.359,1.00619,1.34257,0.92925,0.8586,0.90288,0.51913,1.47054,0.91449,1.23871,0.0007228,0.0007228,0.0007228
9,5400.39,1.34048,1.00617,1.32599,0.90077,0.84843,0.89286,0.54221,1.35862,0.97106,1.19205,0.0006832,0.0006832,0.0006832
10,6041.36,1.34604,0.9766,1.3228,0.91099,0.789,0.86669,0.51097,1.46874,1.07725,1.27066,0.0006436,0.0006436,0.0006436
11,6679.96,1.30753,0.95407,1.31406,0.96575,0.86934,0.92846,0.57092,1.38351,0.89211,1.17626,0.000604,0.000604,0.000604
12,7296.09,1.30767,0.9221,1.29716,0.9795,0.87966,0.92797,0.59818,1.31921,0.7144,1.13245,0.0005644,0.0005644,0.0005644
13,7916.7,1.28785,0.90729,1.30078,0.95779,0.86739,0.91993,0.59493,1.32264,0.74453,1.15779,0.0005248,0.0005248,0.0005248
14,8539.33,1.28382,0.87502,1.29427,0.94828,0.88398,0.92341,0.57488,1.38436,0.73333,1.16632,0.0004852,0.0004852,0.0004852
15,9150.49,1.24691,0.82509,1.26836,0.99286,0.84002,0.91796,0.60319,1.31541,0.7421,1.13678,0.0004456,0.0004456,0.0004456
16,9808.94,1.03765,0.68872,1.11568,0.97002,0.84865,0.93271,0.59047,1.35291,0.76955,1.14304,0.000406,0.000406,0.000406
17,10419.4,0.98863,0.61231,1.08074,0.96857,0.86966,0.92287,0.59728,1.34596,0.74459,1.169,0.0003664,0.0003664,0.0003664
18,11030.3,0.99348,0.58186,1.10457,0.98302,0.89418,0.93951,0.64102,1.18581,0.64638,1.09123,0.0003268,0.0003268,0.0003268
19,11640.2,0.97578,0.56573,1.09001,0.98889,0.88478,0.9459,0.6296,1.23876,0.61647,1.10775,0.0002872,0.0002872,0.0002872
20,12250.6,0.96226,0.5541,1.07562,0.9617,0.87721,0.94108,0.64253,1.18992,0.61949,1.0994,0.0002476,0.0002476,0.0002476
21,12861.2,0.95219,0.53614,1.07644,0.96574,0.87846,0.93845,0.63821,1.21258,0.61817,1.08438,0.000208,0.000208,0.000208
22,13471.7,0.91873,0.50736,1.06385,0.95847,0.89672,0.93366,0.60046,1.34737,0.62725,1.14343,0.0001684,0.0001684,0.0001684
23,14100.9,0.91964,0.49248,1.05463,0.97185,0.92088,0.93993,0.65746,1.15118,0.566,1.04932,0.0001288,0.0001288,0.0001288
24,14760.6,0.90293,0.48275,1.043,0.98114,0.91171,0.94337,0.65399,1.15965,0.55519,1.05672,8.92e-05,8.92e-05,8.92e-05
25,15399.4,0.90476,0.48177,1.04718,0.9826,0.90287,0.94444,0.64762,1.17084,0.55634,1.0509,4.96e-05,4.96e-05,4.96e-05
