epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.273,1.49532,2.17243,1.54826,0.65646,0.42917,0.49054,0.26874,1.78438,2.04962,1.81222,0.0677674,0.000325581,0.000325581
2,118.378,1.49386,1.30473,1.55511,0.60745,0.60791,0.56307,0.32006,1.63048,2.00327,1.84734,0.0347413,0.000632822,0.000632822
3,220.19,1.51306,1.23955,1.54186,0.77091,0.56648,0.64921,0.38531,1.58268,2.09595,1.55684,0.00168886,0.000913662,0.000913662
4,291.262,1.50458,1.22539,1.55797,0.69579,0.58674,0.69866,0.42839,1.37876,6.08205,1.53311,0.0008812,0.0008812,0.0008812
5,353.209,1.50323,1.20837,1.56082,0.86307,0.65215,0.72251,0.41756,1.51863,1.88437,1.63891,0.0008416,0.0008416,0.0008416
6,420.534,1.4578,1.14656,1.53488,0.82699,0.7086,0.81401,0.48012,1.41259,1.4382,1.41185,0.000802,0.000802,0.000802
7,495.01,1.43442,1.12813,1.52784,0.86542,0.76413,0.86305,0.51291,1.48095,1.06194,1.4083,0.0007624,0.0007624,0.0007624
8,533.425,1.42276,1.10381,1.50846,0.88827,0.81254,0.85832,0.51282,1.40338,0.95107,1.36327,0.0007228,0.0007228,0.0007228
9,592.938,1.34906,1.02174,1.44727,0.89166,0.8371,0.87946,0.54756,1.37597,0.87751,1.33844,0.0006832,0.0006832,0.0006832
10,666.314,1.36926,0.97529,1.4488,0.90604,0.85034,0.88862,0.55846,1.35187,0.86556,1.3284,0.0006436,0.0006436,0.0006436
11,721.976,1.35037,0.94897,1.45517,0.90481,0.88776,0.91935,0.56702,1.3899,0.79723,1.35619,0.000604,0.000604,0.000604
12,789.177,1.33404,0.93125,1.44366,0.89841,0.8064,0.90205,0.53105,1.49593,0.86372,1.35065,0.0005644,0.0005644,0.0005644
13,865.071,1.34379,0.92965,1.44106,0.88365,0.84572,0.89381,0.56598,1.30567,0.87688,1.31368,0.0005248,0.0005248,0.0005248
14,935.807,1.31352,0.91429,1.40227,0.94564,0.86595,0.92029,0.56415,1.39135,0.70565,1.31287,0.0004852,0.0004852,0.0004852
15,1012.61,1.28306,0.881,1.39638,0.97517,0.87772,0.93989,0.61665,1.26093,0.64235,1.22493,0.0004456,0.0004456,0.0004456
16,1088.83,1.09707,0.7139,1.31256,0.92774,0.88198,0.92375,0.57835,1.36671,0.71616,1.30038,0.000406,0.000406,0.000406
17,1135.56,1.05824,0.66859,1.28693,0.96704,0.83738,0.91347,0.55238,1.43398,0.79393,1.32933,0.0003664,0.0003664,0.0003664
18,1211.36,1.00697,0.62206,1.25336,0.95165,0.87634,0.92596,0.54547,1.5182,0.72781,1.3898,0.0003268,0.0003268,0.0003268
19,1299.25,0.99152,0.5539,1.23554,0.95085,0.89207,0.92934,0.6122,1.2463,0.63594,1.24423,0.0002872,0.0002872,0.0002872
20,1374.82,1.00879,0.54582,1.23961,0.97704,0.88694,0.93962,0.62223,1.26149,0.62523,1.2512,0.0002476,0.0002476,0.0002476
21,1439.87,0.97527,0.53407,1.24595,0.96779,0.89756,0.93888,0.60475,1.28936,0.60417,1.24388,0.000208,0.000208,0.000208
22,1524.62,0.95361,0.53106,1.22219,0.95923,0.90318,0.93787,0.60778,1.28158,0.58809,1.23725,0.0001684,0.0001684,0.0001684
23,1571.72,0.95499,0.51887,1.22596,0.96361,0.88503,0.93379,0.60375,1.26988,0.59111,1.23658,0.0001288,0.0001288,0.0001288
24,1642.44,0.92711,0.48743,1.20038,0.9715,0.9058,0.94516,0.61318,1.26167,0.55356,1.21759,8.92e-05,8.92e-05,8.92e-05
25,1718.77,0.90885,0.47841,1.18616,0.9704,0.90545,0.94187,0.62105,1.25812,0.54878,1.21144,4.96e-05,4.96e-05,4.96e-05
